9c:d5:7d:7a:58:cf,9c:d5:7d:7a:4d:8f,9c:d5:7d:7f:86:4f,9c:d5:7d:7a:69:6f,9c:d5:7d:7a:66:4f,9c:d5:7d:7a:e7:6f,9c:d5:7d:7f:95:af,9c:d5:7d:7a:cd:2f,9c:d5:7d:7a:f7:6f,9c:d5:7d:7a:ad:6f,9c:d5:7d:7a:55:6f,9c:d5:7d:86:2c:cf,9c:d5:7d:7a:ad:60,9c:d5:7d:7b:58:4f,9c:d5:7d:7b:0c:2f,9c:d5:7d:7e:cc:4f,9c:d5:7d:7b:0b:8f,9c:d5:7d:7f:9d:ef,10:a8:29:58:bd:2f,9c:d5:7d:7e:10:af,9c:d5:7d:7b:0c:20,9c:d5:7d:7b:26:4f,9c:d5:7d:7a:66:40,9c:d5:7d:7b:60:0f,9c:d5:7d:2b:76:cf,24:36:da:12:7e:af,24:36:da:15:56:0f,9c:d5:7d:7b:58:0f,9c:d5:7d:7a:53:6f,9c:d5:7d:7b:73:4f,24:36:da:13:f7:8f,9c:d5:7d:7b:f6:0f,9c:d5:7d:7b:58:6f,9c:d5:7d:7b:58:40,9c:d5:7d:7b:f6:00,9c:d5:7d:7b:10:af,9c:d5:7d:7b:7f:6f,9c:d5:7d:24:d8:2f,9c:d5:7d:86:08:0f,9c:d5:7d:7a:59:6f,9c:d5:7d:7f:f4:af,9c:d5:7d:86:1c:ef,9c:d5:7d:7a:53:60,24:36:da:10:19:6f,9c:d5:7d:7a:b1:cf,9c:d5:7d:86:01:ef,9c:d5:7d:7e:06:8f,9c:d5:7d:86:69:8f,24:36:da:12:7e:a0,9c:d5:7d:7a:1e:8f,24:36:da:14:4b:6f,24:36:da:13:87:4f,24:36:da:19:d3:ef,24:36:da:13:03:0f,9c:d5:7d:86:01:e0,9c:d5:7d:7f:de:ef,9c:d5:7d:7f:e7:2f,24:36:da:13:55:0f,9c:d5:7d:7a:b1:c0,24:36:da:19:ee:6f,9c:d5:7d:7a:fe:cf,9c:d5:7d:7b:34:ef,9c:d5:7d:86:69:80,9c:d5:7d:7a:1e:80,24:36:da:19:0d:0f,24:36:da:18:82:4f,9c:d5:7d:7e:06:80,24:36:da:10:0b:cf,9c:d5:7d:7b:a6:4f,9c:d5:7d:7f:de:e0,9c:d5:7d:7a:9d:0f,9c:d5:7d:7b:14:ef,9c:d5:7d:7b:14:e0,9c:d5:7d:7b:a6:ef,9c:d5:7d:7f:e7:20,9c:d5:7d:86:61:cf,9c:d5:7d:7b:a6:e0,24:36:da:13:55:00,24:36:da:14:31:af,24:36:da:14:97:2f,24:36:da:13:d9:0f,24:36:da:18:72:cf,08:45:d1:e6:fa:8f,24:36:da:18:4b:af,24:36:da:19:0d:00,24:36:da:12:3e:2f,24:36:da:19:ee:60,24:36:da:10:2d:0f,24:36:da:13:dd:ef,9c:d5:7d:7f:d5:ef,9c:d5:7d:86:2a:cf,9c:d5:7d:86:46:6f,9c:d5:7d:86:46:60,9c:d5:7d:86:51:6f,9c:d5:7d:7b:99:ef,24:36:da:12:f7:cf,24:36:da:12:b0:0f,9c:d5:7d:7b:a2:ef,9c:d5:7d:7f:d5:e0,9c:d5:7d:7f:db:cf,08:45:d1:e2:22:6f,24:36:da:12:39:ef,9c:d5:7d:7b:ee:af,24:36:da:18:72:c0,9c:d5:7d:7b:ee:0f,24:36:da:18:97:6f,9c:d5:7d:7f:d6:8f,9c:d5:7d:7b:a9:8f,9c:d5:7d:7b:60:4f,9c:d5:7d:7b:ca:2f,24:36:da:13:c7:4f,24:36:da:12:62:8f,24:36:da:12:7f:2f,24:36:da:14:0d:4f,9c:d5:7d:7f:95:4f,9c:d5:7d:86:46:af,08:45:d1:e6:f2:6f,24:36:da:10:2b:0f,9c:d5:7d:86:31:ef,9c:d5:7d:86:42:2f,9c:d5:7d:86:31:e0,9c:d5:7d:7f:f7:4f,9c:d5:7d:86:1e:cf,9c:d5:7d:86:51:0f,9c:d5:7d:86:00:4f,9c:d5:7d:86:4d:cf,9c:d5:7d:7b:ed:ef,9c:d5:7d:7d:f1:8f,24:36:da:13:fa:cf,9c:d5:7d:7d:f1:80,24:36:da:12:17:6f,24:36:da:13:17:af,24:36:da:13:95:cf,9c:d5:7d:7e:c3:ef,9c:d5:7d:86:1e:c0,9c:d5:7d:7a:d4:6f,9c:d5:7d:86:39:6f,9c:d5:7d:86:52:af,24:36:da:13:95:c0,9c:d5:7d:7e:c3:e0,9c:d5:7d:7b:f8:8f,9c:d5:7d:7b:86:af,9c:d5:7d:86:52:a0,x,y,z
-85,-100,-100,-63,-100,-100,-100,-76,-84,-74,-84,-84,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,70,0,1.38
-100,-100,-100,-54,-100,-100,-100,-75,-77,-74,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,70,2.6,1.38
-100,-100,-100,-65,-100,-100,-100,-68,-90,-64,-100,-82,-80,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,70,10.3,1.38
-100,-100,-100,-67,-100,-100,-100,-75,-100,-68,-100,-100,-68,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,70,12.8,1.38
-100,-100,-100,-64,-100,-100,-100,-77,-100,-60,-100,-100,-76,-100,-80,-83,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,70,15.3,2.33
-100,-100,-100,-74,-100,-100,-100,-79,-100,-68,-100,-100,-71,-100,-81,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,70,17.8,2.33
-100,-100,-100,-49,-100,-100,-100,-69,-82,-66,-100,-84,-81,-100,-86,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,72.5,10.3,1.38
-100,-100,-100,-59,-100,-100,-100,-71,-100,-71,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,72.5,12.8,1.38
-100,-100,-100,-69,-100,-100,-100,-78,-100,-59,-100,-100,-74,-100,-76,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,72.5,12.3,2.33
-100,-100,-100,-71,-100,-100,-100,-81,-100,-70,-100,-100,-73,-100,-84,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,72.5,17.8,2.33
-100,-100,-100,-72,-100,-100,-100,-82,-100,-57,-100,-100,-74,-100,-73,-84,-100,-78,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,72.5,20.3,2.33
